ID,longitude,latitude,date_time,b,t
2001-2013,5.4249387,52.9201517,5/9/2013 10:11,1,5/9/2013 10:11
2001-2013,5.4248685,52.9201594,5/9/2013 10:21,1,5/9/2013 10:21
2001-2013,5.4248547,52.920174,5/9/2013 10:31,1,5/9/2013 10:31
2001-2013,5.4236206,52.9197634,5/9/2013 10:41,1,5/9/2013 10:41
2001-2013,5.4235805,52.9197409,5/9/2013 10:51,1,5/9/2013 10:51
2001-2013,5.4231005,52.9200219,5/9/2013 11:01,1,5/9/2013 11:01
2001-2013,5.4265726,52.9212197,5/9/2013 11:11,1,5/9/2013 11:11
2001-2013,5.4265001,52.9211669,5/9/2013 11:21,1,5/9/2013 11:21
2001-2013,5.426484,52.9212569,5/9/2013 11:31,1,5/9/2013 11:31
2001-2013,5.4265059,52.921266,5/9/2013 11:41,1,5/9/2013 11:41
2001-2013,5.4264442,52.9212276,5/9/2013 11:51,1,5/9/2013 11:51
2001-2013,5.4263519,52.921258,5/9/2013 12:01,1,5/9/2013 12:01
2001-2013,5.424652,52.9203223,5/9/2013 12:11,1,5/9/2013 12:11
2001-2013,5.4246796,52.9202792,5/9/2013 12:21,1,5/9/2013 12:21
2001-2013,5.424727,52.9202899,5/9/2013 12:31,1,5/9/2013 12:31
2001-2013,5.4247597,52.9202846,5/9/2013 12:41,1,5/9/2013 12:41
2001-2013,5.424936,52.9202776,5/9/2013 12:51,1,5/9/2013 12:51
2001-2013,5.4249537,52.9203675,5/9/2013 13:01,1,5/9/2013 13:01
2001-2013,5.4248634,52.9204429,5/9/2013 13:13,1,5/9/2013 13:13
2001-2013,5.424816,52.9205142,5/9/2013 13:24,1,5/9/2013 13:24
2001-2013,5.4247698,52.9205338,5/9/2013 13:33,1,5/9/2013 13:33
2001-2013,5.4249679,52.9201575,5/9/2013 13:43,1,5/9/2013 13:43
2001-2013,5.424919,52.9201382,5/9/2013 13:53,1,5/9/2013 13:53
2001-2013,5.4248515,52.9201398,5/9/2013 14:03,1,5/9/2013 14:03
2001-2013,5.4249489,52.9201292,5/9/2013 14:13,1,5/9/2013 14:13
2001-2013,5.4249936,52.920153,5/9/2013 14:23,1,5/9/2013 14:23
2001-2013,5.4249471,52.9201332,5/9/2013 14:33,1,5/9/2013 14:33
2001-2013,5.4249716,52.9201366,5/9/2013 14:43,1,5/9/2013 14:43
2001-2013,5.4249893,52.920131,5/9/2013 14:53,1,5/9/2013 14:53
2001-2013,5.4249415,52.9201319,5/9/2013 15:03,1,5/9/2013 15:03
2001-2013,5.4249996,52.9201214,5/9/2013 15:13,1,5/9/2013 15:13
2001-2013,5.4249923,52.920121,5/9/2013 15:23,1,5/9/2013 15:23
2001-2013,5.4250302,52.9201135,5/9/2013 15:33,1,5/9/2013 15:33
2001-2013,5.424928,52.9200645,5/9/2013 15:43,1,5/9/2013 15:43
2001-2013,5.4248885,52.9200587,5/9/2013 15:53,1,5/9/2013 15:53
2001-2013,5.4248328,52.9200587,5/9/2013 16:02,1,5/9/2013 16:02
2001-2013,5.4249387,52.9201244,5/9/2013 16:13,1,5/9/2013 16:13
2001-2013,5.4245252,52.9200272,5/9/2013 16:22,1,5/9/2013 16:22
2001-2013,5.4267297,52.9213088,5/9/2013 16:32,2,5/9/2013 16:32
2001-2013,5.4266515,52.9213296,5/9/2013 16:42,2,5/9/2013 16:42
2001-2013,5.4265936,52.9213377,5/9/2013 16:52,2,5/9/2013 16:52
2001-2013,5.4266484,52.9213405,5/9/2013 17:02,2,5/9/2013 17:02
2001-2013,5.4265948,52.9213318,5/9/2013 17:12,2,5/9/2013 17:12
2001-2013,5.4265001,52.9213019,5/9/2013 17:22,2,5/9/2013 17:22
2001-2013,5.4263955,52.9213642,5/9/2013 17:32,2,5/9/2013 17:32
2001-2013,5.4255379,52.921119,5/9/2013 17:42,2,5/9/2013 17:42
2001-2013,5.425447,52.9213499,5/9/2013 17:51,2,5/9/2013 17:51
2001-2013,5.425531,52.9212334,5/9/2013 18:02,2,5/9/2013 18:02
2001-2013,5.4255419,52.9210374,5/9/2013 18:12,2,5/9/2013 18:12
2001-2013,5.425598,52.9207087,5/9/2013 18:21,2,5/9/2013 18:21
