,Colourcode,Ringnumber,Sex,TransmitterNr,TagDeployedDate,Capture_NestID,YearDeployed,NestID,X31U,UTM,NestSuccess,StartKnownActive,EndKnownActive,Comment,Days of Incubation Missed,Complete,id,FledgingSuccess
53,Y5RRLB,2504860,Female,123424,5/10/2016,1606905605,2016,1606905605,664136,5866197,Failed,21-Apr-16,10-May-16,,-22,FALSE,123424-2016,0
54,Y5RRLB,2504860,Female,123424,5/10/2016,1606905605,2016,1706905604,664243,5866250,Failed,15-Apr-17,29-Apr-17,,332,TRUE,123424-2017,0
55,Y5RRLB,2504860,Female,123424,5/10/2016,1606905605,2016,1706905609,664016,5866110,Hatched,5-May-17,2-Jun-17,,366,TRUE,123424-2017,1
56,Y6YLLR,1438803,Female,134747,5/25/2016,1606905607,2016,1606904401,664162,5866328,Failed,15-Apr-16,23-Apr-16,,-54,FALSE,134747-2016,0
57,Y6YLLR,1438803,Female,134747,5/25/2016,1606905607,2016,1606905607,664266,5866291,Hatched,18-May-16,25-May-16,,-22,FALSE,134747-2016,0
58,Y6YLLR,1438803,Female,134747,5/25/2016,1606905607,2016,1706905608,664227,5866282,Failed,3-May-17,10-May-17,,328,TRUE,134747-2017,0
59,Y6YLLR,1438803,Female,134747,5/25/2016,1606905607,2016,1906904401,664134,5866392,Hatched,24-Apr-19,17-May-19,,1065,TRUE,134747-2019,0
60,Y5RYBR,2504854,Female,134755,5/7/2016,1606903001,2016,1606903001,663812,5866710,Hatched,26-Apr-16,13-May-16,,-16,FALSE,134755-2016,0
61,Y5RYBR,2504854,Female,134755,5/7/2016,1606903001,2016,1706901412,663806,5866831,Hatched,15-May-17,29-May-17,,365,TRUE,134755-2017,0
49,B1BBLR,2504698,Female,144129,5/15/2016,1606901601,2016,1606901601,664013,5866961,Failed,20-Apr-16,15-May-16,,-22,FALSE,144129-2016,0
50,B1BBLR,2504698,Female,144129,5/15/2016,1606901601,2016,1706905605,664280,5866263,Failed,17-Apr-17,3-May-17,,331,TRUE,144129-2017,0
51,B1BBLR,2504698,Female,144129,5/15/2016,1606901601,2016,1806904401,NA,NA,Hatched,5-May-18,16-May-18,,709,TRUE,144129-2018,0
8,B1RRBY,2510497,Female,144154,5/28/2015,1506901503,2015,1506901503,663922,5866940,Hatched,5-May-15,30-May-15,,-20,FALSE,144154-2015,0
9,B1RRBY,2510497,Female,144154,5/28/2015,1506901503,2015,1606901504,663926,5866936,Failed,30-Apr-16,21-May-16,,337,TRUE,144154-2016,0
10,B1RRBY,2510497,Female,144154,5/28/2015,1506901503,2015,1806901505,NA,NA,Failed,23-May-18,1-Jun-18,,1078,TRUE,144154-2018,0
47,Y5RRRL,2504866,Female,144418,5/16/2015,1506904602,2015,1506904602,663816,5866213,Hatched,19-Apr-15,16-May-15,,-22,FALSE,144418-2015,1
17,B6RBLB,2510305,Female,144419,5/18/2015,1506902404,2015,1506902404,663485,5866327,Hatched,25-Apr-15,22-May-15,,-18,FALSE,144419-2015,1
62,Y6LBRL,1443514,Female,144420,5/10/2015,1506903901,2015,1506903901,663641,5866270,Hatched,17-Apr-15,10-May-15,,-22,FALSE,144420-2015,0
63,Y6LBRL,1443514,Female,144420,5/10/2015,1506903901,2015,1606902802,663738,5866589,Failed,26-Apr-16,26-Apr-16,,330,TRUE,144420-2016,0
